Full Name,First Name,Last Name,First Last,List of Congresses,Chamber,State,Gender,Party,Ethnicity,BirthYear,Congress Name,Alternative name (Wikipedia),Congress ID
"ABDNOR, JAMES",ABDNOR,JAMES,JAMES ABDNOR,97 98 99,S,SD,M,R,ME,1923,"ABDNOR, JAMES",JAMES ABDNOR,A000009
"ABERCROMBIE, NEIL",ABERCROMBIE,NEIL,NEIL ABERCROMBIE,99 102 103 104 105 106 107 108 109 110 111,H,HI,M,D,W,1938,"ABERCROMBIE, NEIL",NEIL ABERCROMBIE,A000014
"ABRAHAM, RALPH",ABRAHAM,RALPH,RALPH ABRAHAM,114,H,LA,M,R,W,1954,"ABRAHAM, RALPH LEE",RALPH ABRAHAM,A000374
"ABRAHAM, SPENCER",ABRAHAM,SPENCER,SPENCER ABRAHAM,104 105 106,S,MI,M,R,ME,1952,"ABRAHAM, SPENCER",SPENCER ABRAHAM,A000355
"ACEVEDO-VILA, ANIBAL",ACEVEDO-VILA,ANIBAL,ANIBAL ACEVEDO-VILA,107 108,H,PR,M,A,H,1962,"ACEVEDO-VILA, ANIBAL",ANÍBAL ACEVEDO VILÁ,A000359
"ACKERMAN, GARY",ACKERMAN,GARY,GARY ACKERMAN,98 99 100 101 102 103 104 105 106 107 108 109 110 111 112,H,NY,M,D,W,1942,"ACKERMAN, GARY L.",GARY ACKERMAN,A000022
"ADAMS, ALMA",ADAMS,ALMA,ALMA ADAMS,113 114,H,NC,F,D,B,1946,"ADAMS, ALMA S.",ALMA ADAMS,A000370
"ADAMS, BROCKMAN",ADAMS,BROCKMAN,BROCKMAN ADAMS,100 101 102,S,WA,M,D,W,1927,"ADAMS, BROCK",BROCK ADAMS,A000031
"ADAMS, SANDY",ADAMS,SANDY,SANDY ADAMS,112,H,FL,F,R,W,1956,"ADAMS, SANDY",SANDY ADAMS,A000366
"ADDABBO, JOSEPH",ADDABBO,JOSEPH,JOSEPH ADDABBO,97 98 99,H,NY,M,D,W,1925,"ADDABBO, JOSEPH P.",JOSEPH ADDABBO,A000052
"ADERHOLT, ROBERT",ADERHOLT,ROBERT,ROBERT ADERHOLT,105 106 107 108 109 110 111 112 113 114,H,AL,M,R,W,1965,"ADERHOLT, ROBERT B.",ROBERT ADERHOLT,A000055
"ADLER, JOHN",ADLER,JOHN,JOHN ADLER,111,H,NJ,M,D,W,1959,"ADLER, JOHN H.",JOHN ADLER,A000364
"AGUILAR, PETE",AGUILAR,PETE,PETE AGUILAR,114,H,CA,M,D,H,1979,"AGUILAR, PETE",PETE AGUILAR,A000371
"AKAKA, DANIEL",AKAKA,DANIEL,DANIEL AKAKA,97 98 99 100 101 102 103 104 105 106 107 108 109 110 111 112,H,HI,M,D,AAPIA,1924,"AKAKA, DANIEL K.",DANIEL AKAKA,A000069
"AKIN, W.",AKIN,W.,W. AKIN,107 108 109 110 111 112,H,MO,M,R,W,1947,"AKIN, W. TODD",W. AKIN,A000358
"ALBOSTA, DONALD",ALBOSTA,DONALD,DONALD ALBOSTA,97 98,H,MI,M,D,W,1925,"ALBOSTA, DONALD J.",DONALD ALBOSTA,A000076
"ALEXANDER, LAMAR",ALEXANDER,LAMAR,LAMAR ALEXANDER,108 109 110 111 112 113 114,S,TN,M,R,W,1940,"ALEXANDER, LAMAR",LAMAR ALEXANDER,A000360
"ALEXANDER, RODNEY",ALEXANDER,RODNEY,RODNEY ALEXANDER,108 109 110 111 112,H,LA,M,R,W,1946,"ALEXANDER, RODNEY",RODNEY ALEXANDER,A000361
"ALEXANDER, WILLIAM",ALEXANDER,WILLIAM,WILLIAM ALEXANDER,97 98 99 100 101 102,H,AR,M,D,W,1934,"ALEXANDER, BILL",BILL ALEXANDER,A000103
"ALLARD, WAYNE",ALLARD,WAYNE,WAYNE ALLARD,102 103 104 105 106 107 108 109 110,H,CO,M,R,W,1943,"ALLARD, WAYNE",WAYNE ALLARD,A000109
"ALLEN, GEORGE",ALLEN,GEORGE,GEORGE ALLEN,102 107 108 109,H,VA,M,R,W,1952,"ALLEN, GEORGE",GEORGE ALLEN,A000121
"ALLEN, RICK",ALLEN,RICK,RICK ALLEN,114,H,GA,M,R,W,1951,"ALLEN, RICK W.",RICK ALLEN,A000372
"ALLEN, THOMAS",ALLEN,THOMAS,THOMAS ALLEN,105 106 107 108 109 110,H,ME,M,D,W,1945,"ALLEN, THOMAS H.",THOMAS ALLEN,A000357
"ALTMIRE, JASON",ALTMIRE,JASON,JASON ALTMIRE,110 111 112,H,PA,M,D,W,1968,"ALTMIRE, JASON",JASON ALTMIRE,A000362
"AMASH, JUSTIN",AMASH,JUSTIN,JUSTIN AMASH,112 113 114,H,MI,M,R,W,1980,"AMASH, JUSTIN",JUSTIN AMASH,A000367
"AMODEI, MARK",AMODEI,MARK,MARK AMODEI,112 113 114,H,NV,M,R,W,1958,"AMODEI, MARK E.",MARK AMODEI,A000369
"ANDERSON, GLENN",ANDERSON,GLENN,GLENN ANDERSON,97 98 99 100 101 102,H,CA,M,D,W,1913,"ANDERSON, GLENN M.",GLENN ANDERSON,A000189
"ANDREWS, IKE",ANDREWS,IKE,IKE ANDREWS,97 98,H,NC,M,D,W,1925,"ANDREWS, IKE",IKE ANDREWS,A000207
"ANDREWS, MARK",ANDREWS,MARK,MARK ANDREWS,97 98 99,S,ND,M,R,W,1926,"ANDREWS, MARK",MARK ANDREWS,A000208
"ANDREWS, MICHAEL",ANDREWS,MICHAEL,MICHAEL ANDREWS,98 99 100 101 102 103,H,TX,M,D,W,1944,"ANDREWS, MICHAEL",MICHAEL ANDREWS,A000209
"ANDREWS, ROBERT",ANDREWS,ROBERT,ROBERT ANDREWS,102 103 104 105 106 107 108 109 110 111 112 113,H,NJ,M,D,W,1957,"ANDREWS, ROBERT E.",ROBERT ANDREWS,A000210
"ANDREWS, THOMAS",ANDREWS,THOMAS,THOMAS ANDREWS,102 103,H,ME,M,D,W,1953,"ANDREWS, THOMAS H.",THOMAS ANDREWS,A000211
"ANNUNZIO, FRANK",ANNUNZIO,FRANK,FRANK ANNUNZIO,97 98 99 100 101 102,H,IL,M,D,W,1915,"ANNUNZIO, FRANK",FRANK ANNUNZIO,A000212
"ANTHONY, BERYL",ANTHONY,BERYL,BERYL ANTHONY,97 98 99 100 101 102,H,AR,M,D,W,1938,"ANTHONY, BERYL, JR.",BERYL ANTHONY,A000213
"APPLEGATE, DOUGLAS",APPLEGATE,DOUGLAS,DOUGLAS APPLEGATE,97 98 99 100 101 102 103,H,OH,M,D,W,1928,"APPLEGATE, DOUGLAS",DOUGLAS APPLEGATE,A000214
"ARCHER, BILL",ARCHER,BILL,BILL ARCHER,97 98 99 100 101 102 103 104 105 106,H,TX,M,R,W,1928,"ARCHER, BILL",BILL ARCHER,A000215
"ARCURI, MICHAEL",ARCURI,MICHAEL,MICHAEL ARCURI,110 111,H,NY,M,D,W,1959,"ARCURI, MICHAEL A.",MICHAEL ARCURI,A000363
"ARMEY, RICHARD",ARMEY,RICHARD,RICHARD ARMEY,99 100 101 102 103 104 105 106 107,H,TX,M,R,W,1940,"ARMEY, RICHARD K.",RICHARD ARMEY,A000217
"ARMSTRONG, WILLIAM",ARMSTRONG,WILLIAM,WILLIAM ARMSTRONG,97 98 99 100 101,S,CO,M,R,W,1937,"ARMSTRONG, WILLIAM L.",WILLIAM ARMSTRONG,A000219
"ASHBROOK, JEAN",ASHBROOK,JEAN,JEAN ASHBROOK,97,H,OH,F,R,W,1934,"ASHBROOK, JEAN",JEAN ASHBROOK,A000220
"ASHBROOK, JOHN",ASHBROOK,JOHN,JOHN ASHBROOK,97,H,OH,M,R,W,1928,"ASHBROOK, JOHN M.",JOHN ASHBROOK,A000221
"ASHCROFT, JOHN",ASHCROFT,JOHN,JOHN ASHCROFT,104 105 106,S,MO,M,R,W,1942,"ASHCROFT, JOHN",JOHN ASHCROFT,A000356
"ASHFORD, BRAD",ASHFORD,BRAD,BRAD ASHFORD,114,H,NE,M,D,W,1949,"ASHFORD, BRAD",BRAD ASHFORD,A000373
"ASPIN, LESLIE",ASPIN,LESLIE,LESLIE ASPIN,97 98 99 100 101 102 103,H,WI,M,D,W,1938,"ASPIN, LES",LES ASPIN,A000224
"ATKINS, CHESTER",ATKINS,CHESTER,CHESTER ATKINS,99 100 101 102,H,MA,M,D,W,1948,"ATKINS, CHESTER G.",CHESTER ATKINS,A000226
"ATKINSON, EUGENE",ATKINSON,EUGENE,EUGENE ATKINSON,97,H,PA,M,R,W,1927,"ATKINSON, EUGENE V.",EUGENE ATKINSON,A000329
"AUCOIN, LES",AUCOIN,LES,LES AUCOIN,97 98 99 100 101 102,H,OR,M,D,W,1942,"AUCOIN, LES",LES AUCOIN,A000337
"AUSTRIA, STEVE",AUSTRIA,STEVE,STEVE AUSTRIA,111 112,H,OH,M,R,AAPIA,1958,"AUSTRIA, STEVE",STEVE AUSTRIA,A000365
"AYOTTE, KELLY",AYOTTE,KELLY,KELLY AYOTTE,112 113 114,S,NH,F,R,W,1968,"AYOTTE, KELLY",KELLY AYOTTE,A000368
"BABIN, BRIAN",BABIN,BRIAN,BRIAN BABIN,114,H,TX,M,R,W,1948,"BABIN, BRIAN",BRIAN BABIN,B001291
"BACA, JOE",BACA,JOE,JOE BACA,106 107 108 109 110 111 112,H,CA,M,D,H,1947,"BACA, JOE",JOE BACA,B001234
"BACCHUS, JAMES",BACCHUS,JAMES,JAMES BACCHUS,102 103,H,FL,M,D,W,1949,"BACCHUS, JIM",JIM BACCHUS,B000008
"BACHMANN, MICHELE",BACHMANN,MICHELE,MICHELE BACHMANN,110 111 112 113,H,MN,F,R,W,1956,"BACHMANN, MICHELE",MICHELE BACHMANN,B001256
"BACHUS, SPENCER",BACHUS,SPENCER,SPENCER BACHUS,103 104 105 106 107 108 109 110 111 112 113,H,AL,M,R,W,1947,"BACHUS, SPENCER",SPENCER BACHUS,B000013
"BADHAM, ROBERT",BADHAM,ROBERT,ROBERT BADHAM,97 98 99 100,H,CA,M,R,W,1929,"BADHAM, ROBERT E.",ROBERT BADHAM,B000024
"BAESLER, HENRY",BAESLER,HENRY,HENRY BAESLER,103 104 105,H,KY,M,D,W,1941,"BAESLER, SCOTTY",SCOTTY BAESLER,B000028
"BAFALIS, LOUIS",BAFALIS,LOUIS,LOUIS BAFALIS,97,H,FL,M,R,W,1929,"BAFALIS, L. A. (SKIP)",L. BAFALIS,B000029
"BAILEY, DONALD",BAILEY,DONALD,DONALD BAILEY,97,H,PA,M,D,W,1945,"BAILEY, DONALD A.",DONALD BAILEY,B000037
"BAILEY, R.",BAILEY,R.,R. BAILEY,97,H,MO,M,R,W,1940,"BAILEY, WENDELL",WENDELL BAILEY,B000047
"BAIRD, BRIAN",BAIRD,BRIAN,BRIAN BAIRD,106 107 108 109 110 111,H,WA,M,D,W,1956,"BAIRD, BRIAN",BRIAN BAIRD,B001229
"BAKER, HOWARD",BAKER,HOWARD,HOWARD BAKER,97 98,S,TN,M,R,W,1925,"BAKER, HOWARD H., JR.",HOWARD BAKER,B000063
"BAKER, RICHARD",BAKER,RICHARD,RICHARD BAKER,100 101 102 103 104 105 106 107 108 109 110,H,LA,M,R,W,1948,"BAKER, RICHARD H.",RICHARD BAKER,B000072
"BAKER, WILLIAM",BAKER,WILLIAM,WILLIAM BAKER,103 104,H,CA,M,R,W,1940,"BAKER, BILL",BILL BAKER,B000078
"BALDACCI, JOHN",BALDACCI,JOHN,JOHN BALDACCI,104 105 106 107,H,ME,M,D,W,1955,"BALDACCI, JOHN ELIAS",JOHN BALDACCI,B000081
"BALDWIN, TAMMY",BALDWIN,TAMMY,TAMMY BALDWIN,106 107 108 109 110 111 112 113 114,H,WI,F,D,W,1962,"BALDWIN, TAMMY",TAMMY BALDWIN,B001230
"BALLANCE, FRANK",BALLANCE,FRANK,FRANK BALLANCE,108,H,NC,M,D,B,1942,"BALLANCE, FRANK W.,  JR.",FRANK BALLANCE,B001238
"BALLENGER, CASS",BALLENGER,CASS,CASS BALLENGER,100 101 102 103 104 105 106 107 108,H,NC,M,R,W,1926,"BALLENGER, CASS",CASS BALLENGER,B000104
"BARBER, RON",BARBER,RON,RON BARBER,112 113,H,AZ,M,D,W,1945,"BARBER, RON",RON BARBER,B001279
"BARCA, PETER",BARCA,PETER,PETER BARCA,103,H,WI,M,D,W,1955,"BARCA, PETER",PETER BARCA,B001226
"BARCIA, JAMES",BARCIA,JAMES,JAMES BARCIA,103 104 105 106 107,H,MI,M,D,W,1952,"BARCIA, JAMES A.",JAMES BARCIA,B000134
"BARKLEY, DEAN",BARKLEY,DEAN,DEAN BARKLEY,107,S,MN,M,I,W,1950,"BARKLEY, DEAN M.",DEAN BARKLEY,B001237
"BARLETTA, LOU",BARLETTA,LOU,LOU BARLETTA,112 113 114,H,PA,M,R,W,1956,"BARLETTA, LOU",LOU BARLETTA,B001269
"BARLOW, THOMAS",BARLOW,THOMAS,THOMAS BARLOW,103,H,KY,M,D,W,1940,"BARLOW, TOM",TOM BARLOW,B000151
"BARNARD, DRUIE",BARNARD,DRUIE,DRUIE BARNARD,97 98 99 100 101 102,H,GA,M,D,W,1922,"BARNARD, DOUG, JR.",DOUG BARNARD,B000153
"BARNES, MICHAEL",BARNES,MICHAEL,MICHAEL BARNES,97 98 99,H,MD,M,D,W,1943,"BARNES, MICHAEL D.",MICHAEL BARNES,B000160
"BARR, BOB",BARR,BOB,BOB BARR,104 105 106 107,H,GA,M,R,W,1948,"BARR, BOB",BOB BARR,B000169
"BARR, GARLAND",BARR,GARLAND,GARLAND BARR,113 114,H,KY,M,R,W,1973,"BARR, ANDY",ANDY BARR,B001282
"BARRASSO, JOHN",BARRASSO,JOHN,JOHN BARRASSO,110 111 112 113 114,S,WY,M,R,W,1952,"BARRASSO, JOHN",JOHN BARRASSO,B001261
"BARRETT, BILL",BARRETT,BILL,BILL BARRETT,102 103 104 105 106,H,NE,M,R,W,1929,"BARRETT, BILL",BILL BARRETT,B000179
"BARRETT, JAMES",BARRETT,JAMES,JAMES BARRETT,108 109 110 111,H,SC,M,R,W,1961,"BARRETT, J. GRESHAM",J. BARRETT,B001239
"BARRETT, THOMAS",BARRETT,THOMAS,THOMAS BARRETT,103 104 105 106 107,H,WI,M,D,W,1953,"BARRETT, THOMAS M.",THOMAS BARRETT,B000177
"BARROW, JOHN",BARROW,JOHN,JOHN BARROW,109 110 111 112 113,H,GA,M,D,W,1955,"BARROW, JOHN",JOHN BARROW,B001252
"BARTLETT, HARRY",BARTLETT,HARRY,HARRY BARTLETT,98 99 100 101 102,H,TX,M,R,W,1947,"BARTLETT, STEVE",STEVE BARTLETT,B000204
"BARTLETT, ROSCOE",BARTLETT,ROSCOE,ROSCOE BARTLETT,103 104 105 106 107 108 109 110 111 112,H,MD,M,R,W,1926,"BARTLETT, ROSCOE G.",ROSCOE BARTLETT,B000208
"BARTON, JOE",BARTON,JOE,JOE BARTON,99 100 101 102 103 104 105 106 107 108 109 110 111 112 113 114,H,TX,M,R,W,1949,"BARTON, JOE",JOE BARTON,B000213
"BASS, CHARLES",BASS,CHARLES,CHARLES BASS,104 105 106 107 108 109 112,H,NH,M,R,W,1952,"BASS, CHARLES F.",CHARLES BASS,B000220
"BASS, KAREN",BASS,KAREN,KAREN BASS,112 113 114,H,CA,F,D,B,1953,"BASS, KAREN",KAREN BASS,B001270
"BATEMAN, HERBERT",BATEMAN,HERBERT,HERBERT BATEMAN,98 99 100 101 102 103 104 105 106,H,VA,M,R,W,1928,"BATEMAN, HERBERT H.",HERBERT BATEMAN,B000229
"BATES, JIM",BATES,JIM,JIM BATES,98 99 100 101,H,CA,M,D,W,1941,"BATES, JIM",JIM BATES,B000236
"BAUCUS, MAX",BAUCUS,MAX,MAX BAUCUS,97 98 99 100 101 102 103 104 105 106 107 108 109 110 111 112 113,S,MT,M,D,W,1941,"BAUCUS, MAX",MAX BAUCUS,B000243
"BAYH, EVAN",BAYH,EVAN,EVAN BAYH,106 107 108 109 110 111,S,IN,M,D,W,1955,"BAYH, EVAN",EVAN BAYH,B001233
"BEAN, MELISSA",BEAN,MELISSA,MELISSA BEAN,109 110 111,H,IL,F,D,W,1962,"BEAN, MELISSA L.",MELISSA BEAN,B001253
"BEARD, ROBIN",BEARD,ROBIN,ROBIN BEARD,97,H,TN,M,R,W,1939,"BEARD, ROBIN",ROBIN BEARD,B000280
"BEATTY, JOYCE",BEATTY,JOYCE,JOYCE BEATTY,113 114,H,OH,F,D,B,1950,"BEATTY, JOYCE",JOYCE BEATTY,B001281
"BEAUPREZ, BOB",BEAUPREZ,BOB,BOB BEAUPREZ,108 109,H,CO,M,R,W,1948,"BEAUPREZ, BOB",BOB BEAUPREZ,B001240
"BECERRA, XAVIER",BECERRA,XAVIER,XAVIER BECERRA,103 104 105 106 107 108 109 110 111 112 113 114,H,CA,M,D,H,1958,"BECERRA, XAVIER",XAVIER BECERRA,B000287
"BEDELL, BERKLEY",BEDELL,BERKLEY,BERKLEY BEDELL,97 98 99,H,IA,M,D,W,1921,"BEDELL, BERKLEY W.",BERKLEY BEDELL,B000298
"BEGICH, MARK",BEGICH,MARK,MARK BEGICH,111 112 113,S,AK,M,D,W,1962,"BEGICH, MARK",MARK BEGICH,B001265
"BEILENSON, ANTHONY",BEILENSON,ANTHONY,ANTHONY BEILENSON,97 98 99 100 101 102 103 104,H,CA,M,D,W,1932,"BEILENSON, ANTHONY C.",ANTHONY BEILENSON,B000318
"BELL, CHRIS",BELL,CHRIS,CHRIS BELL,108,H,TX,M,D,W,1959,"BELL, CHRIS",CHRIS BELL,B001241
"BENEDICT, CLEVELAND",BENEDICT,CLEVELAND,CLEVELAND BENEDICT,97,H,WV,M,R,W,1935,"BENEDICT, CLEVE",CLEVE BENEDICT,B000358
"BENISHEK, DAN",BENISHEK,DAN,DAN BENISHEK,112 113 114,H,MI,M,R,W,1952,"BENISHEK, DAN",DAN BENISHEK,B001271
"BENJAMIN, ADAM",BENJAMIN,ADAM,ADAM BENJAMIN,97,H,IN,M,D,W,1935,"BENJAMIN, ADAM, JR.",ADAM BENJAMIN,B000363
"BENNET, MICHAEL",BENNET,MICHAEL,MICHAEL BENNET,111 112 113 114,S,CO,M,D,W,1964,"BENNET, MICHAEL F.",MICHAEL BENNET,B001267
"BENNETT, CHARLES",BENNETT,CHARLES,CHARLES BENNETT,97 98 99 100 101 102,H,FL,M,D,W,1910,"BENNETT, CHARLES E.",CHARLES BENNETT,B000371
"BENNETT, ROBERT",BENNETT,ROBERT,ROBERT BENNETT,103 104 105 106 107 108 109 110 111,S,UT,M,R,W,1933,"BENNETT, ROBERT F.",ROBERT BENNETT,B000382
"BENTIVOLIO, KERRY",BENTIVOLIO,KERRY,KERRY BENTIVOLIO,113,H,MI,M,R,W,1951,"BENTIVOLIO, KERRY L.",KERRY BENTIVOLIO,B001280
