GUINTA, FRANK C.	G000570
ENGEL, ELIOT L.	E000179
KIND, RON	K000188
SWEENEY, DAVID MCCANN	S001101
GIBBONS, SAM	G000153
BLILEY, TOM	B000556
SASSE, BEN 	S001197
SWALWELL, ERIC	S001193
MOODY, JIM	M000881
BUNNING, JIM	B001066
COX, CHRISTOPHER	C000830
HECKLER, MARGARET M.	H000440
RILEY, BOB	R000258
ROSENTHAL, BENJAMIN S.	R000442
BREWSTER, BILL K.	B000817
BAFALIS, L. A. (SKIP)	B000029
COYNE, JAMES K.	C000845
MARTIN, JAMES G.	M000183
YATRON, GUS	Y000014
ANDREWS, IKE	A000207
SCOTT, ROBERT C. "BOBBY"	S000185
FAUNTROY, WALTER E.	F000046
SHERMAN, BRAD	S000344
ROBINSON, J. KENNETH	R000337
SCHAUER, MARK H.	S001178
FORD, HAROLD E.	F000261
HOSTETTLER, JOHN N.	H000807
BARLETTA, LOU	B001269
GRAHAM, GWEN	G000575
SOLARZ, STEPHEN J.	S000673
CLAY, WM. LACY	C001049
RADANOVICH, GEORGE	R000004
MEEHAN, MARTIN T.	M000627
CARNEY, WILLIAM	C000165
NAPIER, JOHN L.	N000005
HEINZ, JOHN	H000456
QUAYLE, DAN	Q000007
PATMAN, WILLIAM N.	P000104
BETHUNE, ED	B000422
PATTERSON, JERRY M.	P000121
BILBRAY, BRIAN P.	B000461
DERRICK, BUTLER C.	D000267
BURTON, SALA	B001158
RICHMOND, CEDRIC L.	R000588
SASSER, JIM	S000068
MOONEY, ALEXANDER X.	M001195
HIRONO, MAZIE K.	H001042
BRAT, DAVE	B001290
CORZINE, JON S.	C001042
PERCY, CHARLES H.	P000222
HOBSON, DAVID L.	H000666
HASTERT, J. DENNIS	H000323
BROWN, CORRINE	B000911
LOWRY, MIKE	L000486
LAMPSON, NICK	L000043
CARDIN, BENJAMIN L.	C000141
LIPINSKI, DANIEL	L000563
LARSEN, RICK	L000560
DOOLITTLE, JOHN T.	D000429
BEVILL, TOM	B000431
KOHL, HERB	K000305
SCHMITT, HARRISON H.	S000132
WALBERG, TIM	W000798
SKAGGS, DAVID E.	S000462
CLARKE, HANSEN	C001085
MULVANEY, MICK	M001182
STOCKMAN, DAVID A.	S000935
LAMALFA, DOUG	L000578
BALLENGER, CASS	B000104
EDWARDS, DONNA F.	E000290
BUECHNER, JACK	B001036
BENTSEN, LLOYD M.	B000401
GABBARD, TULSI	G000571
SCHAEFER, DAN	S000109
LONG, RUSSELL B.	L000428
JOHNSON, BILL	J000292
DOLD, ROBERT J.	D000613
WAMPLER, WILLIAM C.	W000121
NICHOLS, BILL	N000095
EVANS, DAVID W.	E000239
KIRKPATRICK, ANN	K000368
TORRES, NORMA J.	T000474
KRAMER, KEN	K000322
SEASTRAND, ANDREA H.	S000213
COLEMAN, NORM	C001057
DEAL, NATHAN	D000168
CHENOWETH-HAGE, HELEN	C000345
COMER, JAMES	C001108
LENT, NORMAN F.	L000243
MICHEL, ROBERT H.	M000692
GROTHMAN, GLENN	G000576
CONAWAY, K. MICHAEL	C001062
JENKINS, EDGAR L.	J000083
BOLAND, EDWARD P.	B000600
TALENT, JIM	T000024
