PERCY, CHARLES, 97 98, S, IL, M
HUDDLESTON, WALTER, 97 98, S, KY, M
JACKSON, HENRY, 97 98, S, WA, M
STAFFORD, ROBERT, 97 98 99 100, S, VT, M
BAKER, HOWARD, 97 98, S, TN, M
CRANSTON, ALAN, 97 98 99 100 101 102, S, CA, M
MCCLURE, JAMES, 97 98 99 100 101, S, ID, M
MATHIAS, CHARLES, 97 98 99, S, MD, M
HATFIELD, MARK, 97 98 99 100 101 102 103 104, S, OR, M
BUMPERS, DALE, 97 98 99 100 101 102 103 104 105, S, AR, M
BENTSEN, LLOYD, 97 98 99 100 101 102 103, S, TX, M
DOLE, ROBERT, 97 98 99 100 101 102 103 104, S, KS, M
MATSUNAGA, SPARK, 97 98 99 100 101, S, HI, M
PRYOR, DAVID, 97 98 99 100 101 102 103 104, S, AR, M
CHAFEE, JOHN, 97 98 99 100 101 102 103 104 105 106, S, RI, M
BRADLEY, WILLIAM, 97 98 99 100 101 102 103 104, S, NJ, M
WARNER, JOHN, 97 98 99 100 101 102 103 104 105 106 107 108 109 110, S, VA, M
HELMS, JESSE, 97 98 99 100 101 102 103 104 105 106 107, S, NC, M
SASSER, JAMES, 97 98 99 100 101 102 103, S, TN, M
DECONCINI, DENNIS, 97 98 99 100 101 102 103, S, AZ, M
PRESSLER, LARRY, 97 98 99 100 101 102 103 104, S, SD, M
LUGAR, RICHARD, 97 98 99 100 101 102 103 104 105 106 107 108 109 110 111 112, S, IN, M
ARMSTRONG, WILLIAM, 97 98 99 100 101, S, CO, M
DURENBERGER, DAVID, 97 98 99 100 101 102 103, S, MN, M
DANFORTH, JOHN, 97 98 99 100 101 102 103, S, MO, M
THURMOND, J., 97 98 99 100 101 102 103 104 105 106 107, S, SC, M
BURDICK, QUENTIN, 97 98 99 100 101 102, S, ND, M
RIEGLE, DONALD, 97 98 99 100 101 102 103, S, MI, M
NUNN, SAMUEL, 97 98 99 100 101 102 103 104, S, GA, M
HEINZ, HENRY, 97 98 99 100 101 102, S, PA, M
